Video_File_Name,effort,emotionAfter,Mastery,emotionLevel
srcEureka51_1,SHINT,Frustration,0.1,1
srcEureka51_2,SHINT,Frustration,0.119565,1
srcEureka51_3,GIVEUP,,0.1,0
srcEureka51_5,SHINT,Confidence,0.1,2
srcEureka51_6,SHINT,Confidence,0.119565,2
srcEureka51_7,SHINT,Confidence,0.1,2
srcEureka51_8,SOF,Confidence,0.205882,2
srcEureka51_13,GUESS,Confidence,0.1,2
srcEureka51_14,SOF,Confidence,0.205882,2
srcEureka54_1,SOF,NoEmotionYet,0.2,-1
srcEureka54_2,SHINT,Frustration,0.234043,1
srcEureka54_3,SHINT,Frustration,0.27191,1
srcEureka54_7,,,0.1,0
srcEureka54_9,SHINT,Confidence,0.1,4
srcEureka54_10,SOF,Confidence,0.205882,4
srcEureka54_11,SHINT,Confidence,0.240625,4
srcEureka54_12,GIVEUP,Confidence,0.205882,4
srcEureka54_14,GIVEUP,,0.1,0
srcEureka54_16,ATT,Confidence,0.1,4
srcEureka54_17,SOF,Confidence,0.205882,4
srcEureka54_18,SKIP,Confidence,0.1,4
srcEureka54_19,SHINT,Confidence,0.119565,4
srcEureka54_20,SKIP,Confidence,0.1,4
srcEureka54_23,GUESS,Confidence,0.1,4
srcEureka55_2,SOF,Frustration,0.205882,2
srcEureka55_3,SHINT,Frustration,0.175,2
srcEureka55_6,ATT,Frustration,0.1,2
srcEureka55_7,SOF,Frustration,0.205882,2
srcEureka55_8,ATT,Frustration,0.1,2
srcEureka55_9,GUESS,Frustration,0.1,2
srcEureka55_11,GUESS,Frustration,0.1,2
srcEureka55_12,SKIP,Frustration,0.1,2
srcEureka55_18,SKIP,Frustration,0.1,2
srcEureka55_20,ATT,Frustration,0.1,2
srcEureka55_21,GUESS,Frustration,0.1,2
srcEureka55_22,GUESS,Frustration,0.1,2
srcEureka55_23,SKIP,Frustration,0.1,2
srcEureka55_24,SKIP,Frustration,0.1,2
srcEureka57_1,SOF,NoEmotionYet,0.2,-1
srcEureka57_2,GUESS,Frustration,0.1,4
srcEureka57_3,SOF,,0.1,0
srcEureka57_5,,,0.1,0
srcEureka57_7,GUESS,Frustration,0.1,3
srcEureka57_10,SHINT,Frustration,0.1,3
srcEureka57_11,SOF,Confidence,0.205882,3
srcMillbury7grade4_A1_0,ATT,Confidence,0.1,2
srcMillbury7grade4_A1_1,SOF,Frustration,0.205882,2
srcMillbury7grade4_A1_2,SOF,Frustration,0.376923,2
srcMillbury7grade4_A1_3,GUESS,Frustration,0.25,2
srcMillbury7grade4_A1_4,SOF,Frustration,0.4375,2
srcMillbury7grade4_A1_5,GUESS,Frustration,0.25,2
srcMillbury7grade4_A1_6,SHINT,Frustration,0.289474,2
srcMillbury7grade4_A1_7,SKIP,Frustration,0.25,2
srcMillbury7grade4_A1_9,GUESS,Frustration,0.1,4
srcMillbury7grade4_A1_10,GUESS,Frustration,0.1,4
srcMillbury7grade4_A1_11,SOF,Frustration,0.205882,4
srcMillbury7grade4_A1_12,SOF,Frustration,0.376923,4
srcMillbury7grade4_A1_13,SOF,Frustration,0.585324,4
srcMillbury7grade4_A1_15,GUESS,Frustration,0.1,1
srcMillbury7grade7_A2_0,SHINT,Frustration,0.175,2
srcMillbury7grade7_A2_1,GUESS,Frustration,0.1,2
srcMillbury7grade7_A2_2,SKIP,Frustration,0.1,2
srcMillbury7grade7_A2_4,SKIP,Frustration,0.1,2
srcMillbury7grade7_A2_5,SOF,Interest,0.205882,2
srcMillbury7grade7_A2_6,SKIP,Interest,0.1,2
srcMillbury7grade7_A2_7,GUESS,Interest,0.1,2
srcMillbury7grade7_A2_8,SOF,Interest,0.205882,2
srcMillbury7grade7_A2_9,SOF,Interest,0.376923,2
srcMillbury7grade7_A2_10,SKIP,Interest,0.25,2
srcMillbury7grade10_A1_0,SHINT,Interest,0.119565,3
srcMillbury7grade10_A1_1,SHINT,,0,0
srcMillbury7grade10_A2_4,SHINT,Interest,0.1,3
srcMillbury7grade10_A2_5,SOF,Interest,0.205882,2
srcMillbury7grade10_A2_6,SKIP,Interest,0.1,2
srcMillbury7grade10_A2_7,SKIP,Interest,0.1,2
srcMillbury7grade10_A2_8,SHINT,Interest,0.119565,2
srcMillbury7grade10_A2_9,GIVEUP,Interest,0.1,2
srcMillbury7grade10_A2_10,SKIP,Interest,0.1,2
srcMillbury7grade10_A3_12,SHINT,Frustration,0.1,2
srcMillbury7grade10_A3_13,SHINT,Frustration,0.119565,2
srcMillbury7grade10_A3_14,SHINT,Frustration,0.1,2
srcMillbury7grade10_A3_15,SHINT,Frustration,0.1,2
srcMillbury7grade10_A3_16,SHINT,Frustration,0.1,2
srcMillbury7grade10_A3_17,SKIP,Frustration,0.1,2
srcEureka59_1,SOF,Frustration,0.2,1
srcEureka59_2,SOF,Frustration,0.368421,1
srcEureka59_3,SOF,Frustration,0.576471,1
srcEureka59_4,SOF,Frustration,0.760532,1
srcEureka59_5,SOF,Frustration,0.881101,1
srcEureka59_7,SOF,Confidence,0.2,5
srcEureka59_8,GUESS,Confidence,0.1,5
srcEureka59_9,SOF,Confidence,0.205882,5
srcEureka59_10,,,0.1,0
srcEureka59_12,,,0.1,0
srcEureka59_14,SKIP,Confidence,0.1,5
srcEureka59_15,SOF,Confidence,0.205882,5
srcEureka59_16,GIVEUP,Confidence,0.1,5
srcEureka59_17,SOF,Confidence,0.205882,5
srcEureka59_18,SOF,Confidence,0.376923,5
srcEureka59_19,SKIP,Confidence,0.25,5
srcEureka59_20,SOF,Confidence,0.4375,5
srcEureka59_21,SKIP,Confidence,0.760532,5
srcEureka59_22,SKIP,Confidence,0.75,5
srcEureka59_23,SOF,Confidence,0.875,5
srcEureka59_24,SKIP,Confidence,0.75,5
srcEureka59_25,GIVEUP,Confidence,0.75,5
srcEureka59_26,SOF,Confidence,0.875,5
srcEureka59_27,GIVEUP,Confidence,0.851351,5
srcEureka59_29,SOF,Confidence,0.875,5
srcEureka59_30,SKIP,Confidence,0.75,5
